 User Name ,Age,Account Balance ,Status
User_AB9087,39.0,4164.77,500
User_AB6419,20.0,1534.54,Pending
User_AB7327,59.0,2896.25,404
User_AB8126,28.0,712.78,404
User_AB3954,,2353.0,Error
,63.0,1433.71,500
User_AB6635,53.0,2475.96,404
User_AB9741,23.0,1178.84,200
User_AB9966,55.0,1238.31,404
User_AB1272,53.0,3985.32,404
User_AB3095,48.0,4708.88,200
User_AB8798,24.0,595.23,404
User_AB5536,31.0,2513.9,OK
User_AB5560,21.0,4524.03,200
User_AB8766,27.0,1656.42,404
User_AB5189,48.0,2389.96,404
User_AB4604,34.0,3875.66,200
,33.0,1037.09,404
User_AB8969,63.0,827.25,404
User_AB8964,29.0,4884.98,500
User_AB4328,53.0,3416.19,500
User_AB1605,48.0,4851.76,200
User_AB2667,44.0,3611.02,500
User_AB4409,35.0,296.36,404
User_AB3920,18.0,4525.79,500
User_AB2503,64.0,1329.93,200
User_AB5688,36.0,1842.62,404
User_AB9398,27.0,4229.32,404
,,978.97,404
User_AB2557,36.0,761.01,200
User_AB3339,,3630.1,200
User_AB1116,64.0,3235.41,200
User_AB6187,26.0,3835.21,404
User_AB1080,43.0,2561.64,200
User_AB2147,36.0,554.98,200
User_AB6866,24.0,4924.42,200
User_AB6329,,3039.68,200
User_AB6155,18.0,135.36,404
User_AB7710,23.0,3281.64,500
User_AB4130,62.0,3521.79,500
User_AB3439,26.0,2523.82,500
User_AB7747,46.0,4037.24,200
User_AB1354,,2592.91,404
User_AB1824,32.0,2830.01,500
,,3281.75,404
User_AB7959,59.0,3168.2,200
User_AB7939,54.0,3593.69,Pending
User_AB8731,34.0,3328.63,500
User_AB8204,,2043.88,200
User_AB2681,42.0,3310.87,200
,,3880.35,404
User_AB9793,29.0,632.05,200
User_AB8425,45.0,4397.2,404
User_AB9372,51.0,4407.85,404
User_AB1274,44.0,2335.85,200
User_AB4946,41.0,1484.65,200
User_AB5273,31.0,647.9,404
User_AB7873,,924.53,404
User_AB5942,19.0,3340.39,500
User_AB3083,64.0,1776.61,200
User_AB6855,18.0,1383.23,200
User_AB7544,50.0,4891.36,404
User_AB7569,46.0,708.87,200
User_AB3256,56.0,2550.33,404
User_AB6889,32.0,3802.75,404
User_AB2374,58.0,2262.99,404
,33.0,2772.01,404
User_AB1848,65.0,247.92,404
User_AB9983,34.0,3338.73,200
User_AB4696,29.0,2503.07,500
User_AB9439,58.0,995.74,404
User_AB4736,25.0,653.17,404
User_AB7813,30.0,809.88,404
User_AB1252,31.0,2133.52,404
User_AB2938,34.0,4700.37,404
User_AB9372,59.0,4757.95,404
,31.0,4928.68,404
,19.0,2627.29,200
User_AB9594,31.0,1504.08,500
User_AB5187,46.0,3396.01,500
User_AB7936,58.0,3511.75,200
User_AB4104,,3601.02,404
User_AB8716,27.0,222.49,500
User_AB9126,37.0,2243.13,404
